english,japanese,exampleEn,exampleJa
whilst,~している間に; ~だけれども,Using a mobile phone whilst driving can cause serious accidents.,運転中に携帯電話を使用すると重大な事故につながる。
workforce,労働人口; 総従業員,Japan's aging workforce will lead to problems for its economy.,高齢化する日本の労働人口は国の経済にとって問題となる。
albeit,~とはいえ; たとえ〜といえども,The prime minister's policies on education were effective; albeit costly.,首相の教育政策は費用がかかるが有効だった。
semantic,意味（論）の; 語義（論）の,Semantic confusion arises when terms are vague in meaning.,用語の意味が曖昧だと意味論的な混乱が生じる。
Mediterranean,地中海（沿岸地域）の,Subtropical climates are common in Mediterranean countries.,地中海諸国では亜熱帯気候が一般的だ。
lexical,語彙の,Words with multiple meanings suffer from lexical ambiguity.,複数の意味を持つ語には語彙の曖昧さというマイナス面がある。
iris,（眼球の）虹彩,The iris regulates the amount of light entering the eye.,虹彩は目に入る光の量を調節する。
sulphur,硫黄,Sulphur hot springs are common in Japan's mountainous regions.,硫黄の温泉は日本の山岳地帯によく見られる。
veterinary,獣医の［に関する］,Most veterinary clinics are ill-equipped to treat large animals.,ほとんどの動物病院では大型動物を治療する設備が十分ではない。
gills,（魚などの）えら,Fish get the oxygen they require by using their gills.,魚はえらを使って必要な酸素を取り込む。
vested,既得の; 所有の確定した,China has a vested interest in the rare earth market.,中国はレアアース市場に既得権益を持っている。
bilateral,双方の; 2国間の,Australia is discussing bilateral trade agreements with African countries.,オーストラリアはアフリカ諸国と2国間貿易協定について協議している。
discrete,分離した; 別々の,The stages of research were divided into three discrete categories.,研究の段階は3つの別々の部門に分かれていた。
foliage,（草木の）葉（全部）; 群葉,The tourists admired the colourful autumn foliage.,観光客は色とりどりの紅葉に感嘆した。
terminology,術語; （専門）用語,Graduate students should be familiar with the terminology used on this course.,大学院生はこの講座で使用される専門用語をよく知っているべきだ。
lateral,横（へ）の; 側面の,He trimmed the lateral branches of the tree.,彼は木の側枝を刈り取った。
arguably,ほぼ間違いなく; おそらく,Sharks are arguably the most feared creature in the world.,サメはおそらく世界で最も恐れられている生き物だ。
optimum,最適の; 最善の,Scientists are undecided on the optimum temperature for quality sleep.,科学者は質の良い睡眠を取るための最適温度を決めかねている。
canteen,（工場・学校などの）食堂; 売店,Most employees disliked the food served in the company canteen.,ほとんどの従業員は社員食堂で出される食事を嫌った。
glucose,グルコース; ブドウ糖,Glucose is a simple sugar that provides energy.,ブドウ糖はエネルギーを供給する単糖だ。
