単語,意味,例文 (英語),例文(日本語)
jack,をジャッキで持ち上げる,The mechanic jacked up the car in order to change the tyre.,整備士はタイヤを交換するために車をジャッキで持ち上げた。
thereby,それによって; その結果,The player dropped the ball; thereby losing the match.,その選手はボールを落とし，その結果試合に負けた。
sterling,(外国貨幣と区別して)英貨,The transaction was 3;000 pounds sterling.,取引は英貨3,000ポンドだった。
chronic,(病気が)慢性の; 長期にわたる,The old man suffered from chronic lung disease.,その老人は慢性の肺病を患っていた。
spectrum,変動範囲; スペクトル,Politics often produces a wide spectrum of opinions.,政治はしばしば幅広いさまざまな意見を生み出す。
empirical,観察[実験]に基づく,Much empirical evidence suggests that global warming is a man-made problem.,多くの実証的証拠が，地球温暖化は人間が作り出した問題だと示唆している。
referendum,国民投票,In 1975; the UK held a referendum on EU membership.,イギリスでは1975年に，EU加盟に関する国民投票が行われた。
dioxide,二酸化物,The amount of carbon dioxide in developing countries increased dramatically.,発展途上国では二酸化炭素量が劇的に増えた。
lifespan,平均寿命; 寿命,Japanese people have a very long life expectancy.,日本人は平均寿命が非常に長い。
hull,船体; 外皮; さや,The sailing boat's hull was made of wooden planking.,そのヨットの船体は木製の外板でできていた。
minimal,最小の; 最小限度の,The new strategies will boost sales with minimal effort.,新戦略は最小限の努力で売り上げを伸ばすだろう。
managerial,経営(上)の; 管理(上)の,Managerial staff are not paid overtime.,管理職には残業代が支払われない。
eligible,(~に)適格の; 資格のある,You must demonstrate English proficiency to be eligible for admission.,入学の資格を得るためには英語力があることを示さなければならない。
specification,製品仕様; 仕様書,The engineer read the product specifications with interest.,その技術者は興味深くその製品仕様書を読んだ。
compliance,(法令)順守; 応諾,Overseas tax compliance is a major issue for multinational companies.,多国籍企業にとって海外の税法を順守することは重要な問題である。
pronounced,はっきりした; 目立つ,King George VI spoke with a very pronounced stammer.,国王ジョージ6世は非常に顕著な吃音を伴う話し方をした。
predominantly,主として; 主に,The company's success was predominantly due to skilful marketing.,その会社の成功は主に巧みなマーケティングによるものだった。
inappropriate,(~に)不適当な; 不似合いの,The director thought the news was inappropriate for broadcast on TV.,ディレクターは，そのニュースはテレビ放送には不適切だと思った。
syndrome,症候群,The hospital specialised in research into metabolic syndrome.,その病院はメタボリック症候群の研究を専門としていた。
bloke,やつ; 男,The escaped criminal seemed like an ordinary bloke.,その逃走犯は普通の男に見えた。
accountability,説明義務[責任],Many companies must show more accountability to their customers.,多くの企業は顧客に対してもっと説明義務を果たさなければならない。
cognitive,認識の; 認知の,The lawyer was surprised at the boy's low cognitive ability.,弁護士は少年の認知能力の低さに驚いた。
venue,開催地; 会場,Wembley Stadium in England is a famous live show venue.,イングランドのウェンブリースタジアムはライブショーの有名な会場だ。
willingness,快く(~)すること,The employee showed great willingness to learn new skills.,その社員は新しい技術を進んで習得しようという姿勢を見せた。
dual,二重の; 両面性を持った,Many countries still do not recognise dual citizenship.,多くの国は二重国籍をまだ認めていない。
gall,ずうずうしさ; 厚かましさ,Few employees had the gall to contradict their boss.,上司に反対意見を述べる厚かましさのある社員はほとんどいなかった。
grid,(道路の)碁盤の目; 格子,The roads of the city followed a grid system.,その市の道路は碁盤の目状になっていた。
autonomous,自治の; 自治権のある,Vatican City is autonomous from the Italian government.,バチカン市国はイタリア政府から独立して自治権を有する。
adjacent,(~に)近接[隣接]した,The visitor parking lot is adjacent to the main building.,来客用の駐車場は本館に隣接している。
psychiatric,精神病学[治療]の,The judge ordered a psychiatric examination of the accused.,裁判官は被告の精神鑑定を命じた。
configuration,形状; 外形; 配列,Washing machines are available in two configurations: top-loading and front-loading.,洗濯機は縦型とドラム式の2つの形状が売られている。
vegetation,(一地域の)植生,The area around the river was rich in vegetation.,その川の周辺地域には豊かな植生があった。
bizarre,奇怪な; 風変わりな,Many critics found the ballet costumes bizarre.,多くの批評家はそのバレエの衣装を風変わりだと思った。
infrastructure,(経済)基盤; インフラ,The city's infrastructure cannot support large housing projects.,その市のインフラでは大規模な住宅プロジェクトを支えられない。
bladder,膀胱,The vet treated the dog for a bladder infection.,獣医はそのイヌの膀胱の感染症の治療をした。
outset,最初; (事業などの)着手,The committee was dubious about the project from the outset.,委員会は最初からそのプロジェクトについて懐疑的だった。
norm,規範; (行動様式などの)典型,Wearing a white gown is the norm for brides.,花嫁は白いドレスを着るのが典型的である。
credibility,信ぴょう性; 信頼できること,The lawyer carefully examined the credibility of the evidence.,弁護士はその証拠の信ぴょう性を慎重に検証した。
immune,(~に)免疫のある,The defiant actor seemed immune to criticism.,その反抗的な俳優は批判に対して免疫があるようだった。
indigenous,(ある土地に)固有の; 原産の,This deer is indigenous to the western half of North America.,このシカは北米の西半分に固有のものだ。
viable,実行可能な; 生存可能な,The proposal was not viable because of its expense.,その提案は費用の面から実行可能ではなかった。
